feature,coefficient
cat__education_Doctorate degree(PhD EdD),1.9941567841450512
cat__education_Prof school degree (MD DDS DVM LLB JD),1.9582333000447778
cat__education_Masters degree(MA MS MEng MEd MSW MBA),1.282231669016886
cat__tax filer stat_Nonfiler,-1.1809766167377975
cat__education_9th grade,-1.0102348540624249
cat__education_10th grade,-0.9764292824614766
num__weeks worked in year,0.9575718039046983
cat__sex_Female,-0.9562775458692652
cat__education_7th and 8th grade,-0.9429856828890815
cat__education_11th grade,-0.9043115489445701
cat__full or part time employment stat_Children or Armed Forces,-0.8974097870037202
num__detailed occupation recode,-0.8333165682312468
cat__major industry code_Social services,-0.797532913746808
cat__fill inc questionnaire for veteran's admin_Not in universe,-0.795322726367077
cat__major occupation code_Adm support including clerical,-0.7851191484546127
cat__education_5th or 6th grade,-0.7676951558956078
cat__class of worker_Self-employed-incorporated,0.7617723917760633
cat__major occupation code_Protective services,0.7583365112707708
cat__education_Bachelors degree(BA AB BS),0.7310153109607592
cat__major industry code_Retail trade,-0.6893299189681001
num__age,0.6624172789086016
cat__class of worker_State government,-0.6492678978198222
cat__enroll in edu inst last wk_College or university,-0.6200094614973446
cat__live in this house 1 year ago_No,-0.574643287524101
cat__education_1st 2nd 3rd or 4th grade,-0.5720573049875516
cat__education_12th grade no diploma,-0.5650088800236291
cat__major industry code_Education,-0.5539210764528513
cat__major industry code_Mining,0.5331622864359092
cat__class of worker_Not in universe,-0.5231477120919984
cat__major industry code_Utilities and sanitary services,0.48889631583099863
