feature,importance
age,26.75983121511094
family members under 18,12.616180921964574
veterans benefits,11.934462925868921
weeks worked in year,8.368696448062156
detailed occupation recode,5.568144888022523
sex,5.4050663292910555
education,4.258636796300728
tax filer stat,3.2313732306832526
capital gains,3.142000211506037
dividends from stocks,3.080342669289006
detailed industry recode,2.9741885717569008
major occupation code,1.8716150796161248
capital losses,1.6530290279982471
major industry code,1.5383452008061556
num persons worked for employer,1.4488019068944333
detailed household summary in household,1.12782308000059
class of worker,1.1162737181302254
wage per hour,0.8767366312136332
marital stat,0.5397322306595869
detailed household and family stat,0.5231788164094489
race,0.31175504755661687
fill inc questionnaire for veteran's admin,0.3055884315839006
full or part time employment stat,0.21455822240366978
own business or self employed,0.20941628491000117
hispanic origin,0.15111410662637986
migration prev res in sunbelt,0.11681695026143424
country of birth mother,0.10214798601778806
member of a labor union,0.08067934723810473
citizenship,0.07287748278359625
live in this house 1 year ago,0.06742412364835612
