feature,coefficient
cat__education_Doctorate degree(PhD EdD),1.994156784145048
cat__education_Prof school degree (MD DDS DVM LLB JD),1.9582333000447758
cat__education_Masters degree(MA MS MEng MEd MSW MBA),1.2822316690168838
cat__tax filer stat_Nonfiler,-1.180976616737795
cat__education_9th grade,-1.0102348540624286
cat__education_10th grade,-0.9764292824614776
num__weeks worked in year,0.9575718039047006
cat__sex_Female,-0.9562775458692832
cat__education_7th and 8th grade,-0.9429856828890816
cat__education_11th grade,-0.9043115489445712
cat__full or part time employment stat_Children or Armed Forces,-0.8974097870037243
num__detailed occupation recode,-0.8333165682312487
cat__major industry code_Social services,-0.7975329137468027
cat__fill inc questionnaire for veteran's admin_Not in universe,-0.7953227263671518
cat__major occupation code_Adm support including clerical,-0.7851191484546072
cat__education_5th or 6th grade,-0.7676951558956094
cat__class of worker_Self-employed-incorporated,0.7617723917760727
cat__major occupation code_Protective services,0.7583365112707737
cat__education_Bachelors degree(BA AB BS),0.7310153109607573
cat__major industry code_Retail trade,-0.6893299189680985
num__age,0.662417278908602
cat__class of worker_State government,-0.6492678978198144
cat__enroll in edu inst last wk_College or university,-0.6200094614973388
cat__live in this house 1 year ago_No,-0.5746432875240967
cat__education_1st 2nd 3rd or 4th grade,-0.5720573049875505
cat__education_12th grade no diploma,-0.5650088800236308
cat__major industry code_Education,-0.5539210764528467
cat__major industry code_Mining,0.5331622864359155
cat__class of worker_Not in universe,-0.5231477120919908
cat__major industry code_Utilities and sanitary services,0.4888963158310034
