iter	Logloss
0	0.6058001753
1	0.5247955738
2	0.4528431002
3	0.3972852186
4	0.3670432328
5	0.3295519204
6	0.2996629219
7	0.2727962305
8	0.2534946271
9	0.2394090797
10	0.2259396544
11	0.2149783914
12	0.2065672143
13	0.1967099871
14	0.1893269405
15	0.1834113839
16	0.1769095737
17	0.1724174201
18	0.1689110445
19	0.1652937299
20	0.1621479814
21	0.1592520677
22	0.1571370455
23	0.1542791797
24	0.1520588563
25	0.1507002813
26	0.1489420324
27	0.1470272432
28	0.1451835737
29	0.1436955771
30	0.1427853494
31	0.141594818
32	0.1401259461
33	0.1390296247
34	0.1380082015
35	0.137036362
36	0.1361530141
37	0.1356399214
38	0.1348593507
39	0.1340272301
40	0.1332657713
41	0.1329250593
42	0.1323241668
43	0.1317302279
44	0.1311451137
45	0.1307829742
46	0.1304683185
47	0.130026433
48	0.1296011326
49	0.1291985116
50	0.1287575742
51	0.1285190828
52	0.1283598272
53	0.1280647383
54	0.1276863748
55	0.1274069888
56	0.1271562525
57	0.1268686487
58	0.1266847236
59	0.1264433657
60	0.1261881739
61	0.1259172249
62	0.1257642017
63	0.1255346873
64	0.1254074177
65	0.1251878841
66	0.1250648618
67	0.1248367628
68	0.1246620237
69	0.1244872687
70	0.1243348102
71	0.1241329673
72	0.1239725594
73	0.1237911281
74	0.1236140031
75	0.1234957537
76	0.1233637761
77	0.1232126855
78	0.1230892335
79	0.1229644513
80	0.1228007595
81	0.122718943
82	0.1225888938
83	0.1224754054
84	0.1223337574
85	0.122228963
86	0.1221214805
87	0.122055432
88	0.1219396483
89	0.1218404549
90	0.1217332906
91	0.1216261545
92	0.121478736
93	0.1214060249
94	0.1213274609
95	0.1212382009
96	0.1211250494
97	0.1210533168
98	0.1210074855
99	0.120917308
100	0.120839182
101	0.1207420514
102	0.1206573758
103	0.12059647
104	0.1205230346
105	0.120425065
106	0.1203555691
107	0.1203059157
108	0.1202039232
109	0.1201149077
110	0.1200697912
111	0.1199477394
112	0.1198503107
113	0.1198050408
114	0.1197065084
115	0.1196554293
116	0.1195549058
117	0.1194686023
118	0.1194330554
119	0.1193685238
120	0.1193097833
121	0.1192022469
122	0.1190828242
123	0.1190169978
124	0.1189390012
125	0.1188981341
126	0.1188282659
127	0.1187514772
128	0.1186934628
129	0.1186661729
130	0.1186327828
131	0.1185905084
132	0.1185274674
133	0.1184843624
134	0.1184121734
135	0.1183622272
136	0.1182839127
137	0.1182602735
138	0.1182121513
139	0.1181741053
140	0.1181243495
141	0.1180727544
142	0.1180039906
143	0.117916524
144	0.1178981854
145	0.1178592934
146	0.1177685027
147	0.1177308335
148	0.1177234764
149	0.11764543
150	0.1175752866
151	0.1175330274
152	0.1175251265
153	0.1175018322
154	0.1174211606
155	0.1173501086
156	0.1173052604
157	0.1172403506
158	0.1171571608
159	0.1170967851
160	0.1170812467
161	0.1170451825
162	0.1170059273
163	0.1169062426
164	0.1168978617
165	0.1168893131
166	0.1168402033
167	0.1167730007
168	0.1167522083
169	0.1167270452
170	0.1166435041
171	0.1165953125
172	0.1165423178
173	0.1164979375
174	0.1164780671
175	0.116441425
176	0.1163964226
177	0.1163747396
178	0.1163676078
179	0.1163121737
180	0.1162833738
181	0.1161482627
182	0.1161368608
183	0.1161167546
184	0.1160556157
185	0.116017393
186	0.1159786368
187	0.1159355283
188	0.1158978424
189	0.1158494604
190	0.1158057732
191	0.1157312034
192	0.1157048047
193	0.1156573545
194	0.115604834
195	0.1155793315
196	0.115570445
197	0.1155259087
198	0.1154719566
199	0.1154576791
200	0.1154278072
201	0.1154112855
202	0.1153818804
203	0.1153359236
204	0.1153165046
205	0.1152841121
206	0.1152698969
207	0.1152346131
208	0.1152054958
209	0.1151904583
210	0.1151438587
211	0.1151217181
212	0.1151150423
213	0.115079724
214	0.1150327611
215	0.1149923535
216	0.1149822665
217	0.11494742
218	0.1149110458
219	0.1148932128
220	0.1148604994
221	0.1148078621
222	0.1147597377
223	0.1147265012
224	0.114688365
225	0.1146364683
226	0.1145986498
227	0.1145535629
228	0.1145322574
229	0.1145145389
230	0.1145083841
231	0.1144654787
232	0.1144189463
233	0.1143814511
234	0.1143727757
235	0.1142795547
236	0.1142725437
237	0.1142349317
238	0.1142065153
239	0.1141988527
240	0.1141431668
241	0.1141268073
242	0.1141170977
243	0.1141071485
244	0.1140655848
245	0.114009753
246	0.1139352364
247	0.1139015902
248	0.1138130552
249	0.1138084217
250	0.1137653743
251	0.1137290024
252	0.1137127218
253	0.113677137
254	0.1136486858
255	0.1136340384
256	0.1136142603
257	0.1135710306
258	0.1135501986
259	0.1135324882
260	0.113513539
261	0.1134412775
262	0.1133905913
263	0.1133528182
264	0.1133369625
265	0.1132624338
266	0.1132355618
267	0.1132237828
268	0.1131927092
269	0.1131750862
270	0.1131430786
271	0.1131128655
272	0.1130950805
273	0.1130660922
274	0.1130470144
275	0.1130041719
276	0.112975939
277	0.1129377534
278	0.1129295504
279	0.1128823952
280	0.1128610208
281	0.1128254719
282	0.1127980502
283	0.1127880601
284	0.1127316618
285	0.1127181037
286	0.1126906353
287	0.1126496973
288	0.1126434538
289	0.1126273137
290	0.1125854524
291	0.1125574082
292	0.1125281474
293	0.1124922496
294	0.1124601793
295	0.1124550803
296	0.1124319163
297	0.112410112
298	0.1123821821
299	0.1123517942
300	0.1123516398
301	0.1123224901
302	0.1122736678
303	0.1122660244
304	0.1122314073
305	0.1121965058
306	0.1121688419
307	0.1121417695
308	0.1121201193
309	0.1121122352
310	0.1121025999
311	0.1120616125
312	0.1120321154
313	0.1120149237
314	0.1119837368
315	0.1119573017
316	0.1119519385
317	0.1119269229
318	0.1119145096
319	0.111886473
320	0.1118624563
321	0.1118321581
322	0.1118163468
323	0.111804305
324	0.1117487603
325	0.1117334051
326	0.1117110738
327	0.1116848121
328	0.1116400492
329	0.1115991061
330	0.1115725957
331	0.1115657266
332	0.1115476789
333	0.1115092296
334	0.1115000836
335	0.1114861617
336	0.1114578857
337	0.1114350379
338	0.11141422
339	0.111391639
340	0.111359451
341	0.1113219337
342	0.1112932055
343	0.111286096
344	0.1112523083
345	0.1112041695
346	0.1111763943
347	0.1111643447
348	0.1111485398
349	0.1111366802
350	0.1111128998
351	0.1110805607
352	0.1110694338
353	0.1110632854
354	0.1110505147
355	0.1110225504
356	0.1109994525
357	0.1109799551
358	0.1109656633
359	0.1109459659
360	0.1109413502
361	0.1109096339
362	0.1108846774
363	0.1108478276
364	0.1108052482
365	0.1107871733
366	0.1107764024
367	0.1107538491
368	0.1107237085
369	0.1106866871
370	0.11066516
371	0.1106527354
372	0.1106450642
373	0.1106400061
374	0.1106380645
375	0.1106362495
376	0.110633613
377	0.1106189721
378	0.1105794656
379	0.1105765267
380	0.1105550104
381	0.1105445911
382	0.1105325425
383	0.1105262001
