iter	Passed	Remaining
0	171	171361
1	273	136230
2	371	123378
3	457	113909
4	545	108563
5	631	104621
6	718	101859
7	799	99124
8	873	96168
9	940	93062
10	1013	91085
11	1097	90397
12	1182	89742
13	1254	88385
14	1369	89914
15	1458	89726
16	1602	92690
17	1730	94402
18	1820	94013
19	1913	93738
20	1998	93186
21	2087	92787
22	2171	92230
23	2249	91475
24	2341	91317
25	2425	90860
26	2522	90920
27	2607	90533
28	2693	90201
29	2772	89653
30	2871	89768
31	2965	89705
32	3047	89287
33	3143	89314
34	3234	89184
35	3314	88754
36	3397	88420
37	3499	88582
38	3585	88352
39	3658	87813
40	3742	87528
41	3829	87338
42	3904	86895
43	3981	86509
44	4065	86286
45	4152	86120
46	4243	86042
47	4322	85731
48	4395	85318
49	4477	85076
50	4562	84889
51	4650	84775
52	4736	84635
53	4822	84482
54	4898	84166
55	4988	84099
56	5069	83867
57	5149	83631
58	5239	83570
59	5335	83585
60	5420	83446
61	5501	83230
62	5600	83289
63	5691	83243
64	5786	83238
65	5876	83167
66	5966	83079
67	6045	82861
68	6118	82553
69	6208	82485
70	6298	82414
71	6384	82286
72	6468	82137
73	6554	82018
74	6644	81948
75	6733	81867
76	6822	81781
77	6919	81793
78	6999	81601
79	7081	81438
80	7172	81374
81	7272	81415
82	7354	81248
83	7438	81113
84	7522	80978
85	7602	80800
86	7704	80849
87	7803	80877
88	7890	80763
89	7980	80691
90	8064	80552
91	8151	80454
92	8240	80368
93	8331	80298
94	8408	80105
95	8491	79963
96	8573	79810
97	8653	79649
98	8740	79551
99	8820	79380
100	8902	79240
101	8997	79213
102	9084	79111
103	9176	79061
104	9269	79013
105	9357	78920
106	9437	78761
107	9512	78562
108	9594	78427
109	9682	78343
110	9769	78242
111	9860	78176
112	9946	78078
113	10033	77982
114	10116	77854
115	10215	77846
116	10293	77687
117	10387	77645
118	10480	77589
119	10559	77439
120	10644	77323
121	10725	77185
122	10804	77038
123	10896	76978
124	10993	76952
125	11084	76885
126	11181	76864
127	11264	76742
128	11354	76667
129	11445	76598
130	11536	76528
131	11621	76422
132	11705	76308
133	11791	76203
134	11876	76095
135	11964	76007
136	12055	75939
137	12145	75862
138	12226	75734
139	12326	75719
140	12425	75699
141	12509	75586
142	12599	75509
143	12686	75415
144	12775	75329
145	12862	75236
146	12943	75104
147	13027	74993
148	13130	74996
149	13213	74875
150	13289	74721
151	13391	74710
152	13483	74643
153	13573	74563
154	13647	74403
155	13715	74203
156	13802	74109
157	13902	74087
158	13986	73978
159	14076	73903
160	14165	73821
161	14260	73766
162	14360	73739
163	14460	73712
164	14553	73648
165	14649	73602
166	14722	73434
167	14794	73266
168	14891	73225
169	14998	73226
170	15097	73190
171	15190	73128
172	15286	73075
173	15381	73017
174	15474	72950
175	15563	72865
176	15648	72759
177	15739	72682
178	15786	72407
179	15879	72340
180	15964	72235
181	16059	72179
182	16141	72061
183	16226	71960
184	16327	71931
185	16418	71854
186	16507	71767
187	16597	71685
188	16681	71579
189	16771	71498
190	16861	71420
191	16952	71340
192	17040	71251
193	17128	71162
194	17215	71067
195	17298	70960
196	17392	70893
197	17491	70851
198	17583	70775
199	17676	70707
200	17762	70607
201	17854	70535
202	17939	70430
203	18022	70324
204	18108	70225
205	18187	70101
206	18272	70000
207	18350	69873
208	18437	69780
209	18529	69704
210	18612	69596
211	18696	69493
212	18777	69379
213	18869	69306
214	18957	69215
215	19048	69139
216	19149	69095
217	19235	69002
218	19333	68947
219	19384	68727
220	19477	68655
221	19575	68601
222	19661	68508
223	19749	68418
224	19838	68332
225	19930	68256
226	20017	68165
227	20106	68078
228	20195	67995
229	20272	67869
230	20361	67781
231	20459	67728
232	20551	67652
233	20628	67527
234	20711	67421
235	20807	67358
236	20888	67248
237	20970	67141
238	21050	67027
239	21140	66944
240	21216	66817
241	21302	66725
242	21396	66654
243	21488	66580
244	21578	66496
245	21667	66412
246	21757	66330
247	21847	66248
248	21946	66193
249	22032	66097
250	22127	66030
251	22218	65950
252	22309	65871
253	22396	65779
254	22490	65706
255	22572	65600
256	22652	65488
257	22750	65429
258	22840	65346
259	22933	65272
260	23020	65182
261	23123	65133
262	23224	65080
263	23310	64986
264	23397	64896
265	23493	64828
266	23584	64745
267	23677	64671
268	23767	64587
269	23861	64514
270	23953	64436
271	24052	64377
272	24143	64295
273	24239	64226
274	24337	64161
275	24444	64121
276	24554	64089
277	24644	64003
278	24747	63953
279	24842	63879
280	24928	63785
281	25005	63665
282	25093	63577
283	25186	63498
284	25282	63427
285	25378	63358
286	25474	63286
287	25568	63210
288	25669	63152
289	25749	63042
290	25894	63089
291	26012	63071
292	26105	62991
293	26237	63005
294	26325	62913
295	26448	62903
296	26540	62822
297	26623	62716
298	26722	62650
299	26807	62550
300	26877	62415
301	26975	62348
302	27060	62248
303	27137	62131
304	27231	62052
305	27325	61974
306	27405	61863
307	27504	61795
308	27599	61720
309	27679	61609
310	27759	61498
311	27851	61416
312	27943	61333
313	28033	61245
314	28124	61159
315	28221	61087
316	28308	60993
317	28395	60898
318	28492	60825
319	28580	60733
320	28677	60661
321	28774	60587
322	28875	60522
323	28962	60427
324	29045	60326
325	29134	60234
326	29223	60145
327	29323	60077
328	29427	60017
329	29523	59942
330	29645	59917
331	29738	59836
332	29828	59746
333	29919	59660
334	30010	59573
335	30095	59474
336	30178	59371
337	30269	59285
338	30356	59190
339	30437	59083
340	30514	58971
341	30601	58875
342	30683	58772
343	30779	58696
344	30873	58614
345	30971	58541
346	31056	58443
347	31143	58349
348	31231	58257
349	31307	58141
350	31392	58044
351	31483	57957
352	31577	57876
353	31661	57777
354	31742	57672
355	31840	57598
356	31916	57485
357	31994	57375
358	32077	57275
359	32163	57180
360	32254	57092
361	32346	57008
362	32429	56908
363	32515	56813
364	32598	56713
365	32677	56605
366	32759	56504
367	32842	56403
368	32928	56309
369	33019	56222
370	33104	56125
371	33191	56033
372	33276	55937
373	33373	55860
374	33460	55768
375	33534	55652
376	33623	55563
377	33707	55465
378	33795	55374
379	33887	55290
380	33971	55193
381	34052	55090
382	34138	54995
383	34236	54920
384	34325	54831
385	34419	54750
386	34506	54657
387	34586	54553
388	34681	54473
389	34759	54367
390	34847	54277
391	34927	54173
392	35005	54066
393	35084	53962
394	35166	53862
395	35249	53764
396	35339	53677
397	35431	53591
398	35515	53495
399	35603	53405
400	35688	53310
401	35781	53227
402	35864	53128
403	35958	53047
404	36047	52958
405	36150	52890
406	36254	52822
407	36347	52738
408	36453	52675
409	36549	52594
410	36655	52530
411	36762	52467
412	36850	52375
413	36948	52299
414	37054	52233
415	37147	52149
416	37242	52068
417	37331	51978
418	37406	51869
419	37484	51764
420	37571	51672
421	37661	51583
422	37747	51490
423	37835	51398
424	37924	51309
425	38009	51215
426	38100	51127
427	38203	51057
428	38282	50953
429	38370	50862
430	38458	50772
431	38554	50691
432	38642	50601
433	38723	50500
434	38808	50406
435	38896	50315
436	38982	50222
437	39072	50134
438	39166	50050
439	39254	49960
440	39340	49867
441	39436	49785
442	39530	49702
443	39616	49609
444	39701	49515
445	39779	49412
446	39866	49320
447	39961	49238
448	40054	49154
449	40139	49059
450	40224	48964
451	40322	48886
452	40404	48789
453	40488	48693
454	40581	48608
455	40672	48521
456	40759	48429
457	40834	48324
458	40919	48230
459	41007	48138
460	41090	48042
461	41181	47956
462	41276	47873
463	41375	47795
464	41473	47716
465	41574	47641
466	41659	47547
467	41744	47453
468	41839	47370
469	41924	47276
470	42004	47177
471	42109	47105
472	42196	47013
473	42296	46936
474	42391	46854
475	42484	46768
476	42572	46677
477	42666	46593
478	42755	46504
479	42848	46419
480	42943	46336
481	43036	46251
482	43125	46161
483	43219	46077
484	43311	45990
485	43402	45902
486	43505	45827
487	43581	45725
488	43668	45633
489	43752	45538
490	43844	45452
491	43931	45360
492	44023	45273
493	44122	45194
494	44210	45103
495	44299	45013
496	44416	44952
497	44506	44864
498	44598	44777
499	44679	44679
500	44757	44579
501	44859	44502
502	44946	44410
503	45028	44314
504	45115	44222
505	45191	44120
506	45277	44027
507	45362	43934
508	45462	43854
509	45555	43768
510	45648	43682
511	45734	43591
512	45807	43485
513	45906	43405
514	45982	43303
515	46083	43225
516	46172	43135
517	46261	43046
518	46349	42956
519	46437	42865
520	46522	42772
521	46607	42679
522	46706	42598
523	46792	42506
524	46872	42408
525	46963	42320
526	47046	42226
527	47133	42134
528	47228	42050
529	47320	41963
