education,record_count,weighted_income_rate,weighted_population
Prof school degree (MD DDS DVM LLB JD),1793.0,0.5389233882900943,3155198.08
Doctorate degree(PhD EdD),1263.0,0.5262572540522729,2223026.4400000004
Masters degree(MA MS MEng MEd MSW MBA),6541.0,0.3159499298949671,11475673.95
Bachelors degree(BA AB BS),19865.0,0.20347356382153933,35738476.21
Associates degree-academic program,4363.0,0.09632355151429729,7923965.51
Associates degree-occup /vocational,5358.0,0.07593591049765076,9186755.059999999
Some college but no degree,27820.0,0.0649565916047364,50296154.39
High school graduate,48407.0,0.03762181255794423,85589219.42
12th grade no diploma,2126.0,0.01481410422451617,3760879.44
11th grade,6876.0,0.010311023002664376,12290046.290000001
