major industry code,record_count,weighted_income_rate,weighted_population
Mining,563.0,0.30268361481578676,875534.74
Other professional services,4482.0,0.23587672541631463,8053509.25
Communications,1181.0,0.2291002339940463,2078937.5100000002
Utilities and sanitary services,1178.0,0.2117551882215181,2139292.33
Finance insurance and real estate,6145.0,0.18402368250749795,11098372.08
Public administration,4610.0,0.18221382221155502,8169592.8
Manufacturing-durable goods,9015.0,0.16802853632930279,16489916.239999998
Wholesale trade,3596.0,0.15547384539915884,6456142.88
Manufacturing-nondurable goods,6897.0,0.1276228008219421,12199769.32
Medical except hospital,4683.0,0.12452517088838888,8266903.09
