major occupation code,record_count,weighted_income_rate,weighted_population
Executive admin and managerial,12495.0,0.2905568282317467,22191168.83
Professional specialty,13940.0,0.2541428040943663,24614433.89
Protective services,1661.0,0.1567625494220587,3179314.1399999997
Sales,11783.0,0.13266602666939256,21215340.36
Technicians and related support,3018.0,0.11993665441171245,5460452.88
Precision production craft & repair,10518.0,0.08887017492323124,18843253.560000002
Transportation and material moving,4020.0,0.06390912267474536,7265852.05
Farming forestry and fishing,3146.0,0.043497684622408606,5177166.37
Machine operators assmblrs & inspctrs,6379.0,0.03825654809093082,11338598.27
Adm support including clerical,14837.0,0.030261192862209657,26353681.880000003
