,weeks worked in year,capital gains,num persons worked for employer,detailed industry recode,dividends from stocks,capital losses,veterans benefits,age,own business or self employed,wage per hour,income_binary
weeks worked in year,1.0,0.08354901256710567,0.7473016166323121,0.7544724182232213,0.013823085819071842,0.1007616813992009,0.532279231354645,0.20618095015546914,0.2658718759073974,0.19568700204983958,0.26231613613283594
capital gains,0.08354901256710567,1.0,0.05801500340231919,0.06601673393611507,0.1314758051527368,-0.012700094408490955,0.0515300104772433,0.053590311054668785,0.015048465272834918,-0.0010820005167498782,0.2407248197156532
num persons worked for employer,0.7473016166323121,0.05801500340231919,1.0,0.6420963641245405,0.007206306721585401,0.0842554414259943,0.46333385927136855,0.14088685289893046,0.24055252479600633,0.1915425975177491,0.2226840282014662
detailed industry recode,0.7544724182232213,0.06601673393611507,0.6420963641245405,1.0,0.012773506839290827,0.0725862638735743,0.4764750637434381,0.15782201597435258,0.25269416206918743,0.16597982732564345,0.19618969446023682
dividends from stocks,0.013823085819071842,0.1314758051527368,0.007206306721585401,0.012773506839290827,1.0,0.042427234022931075,0.054584542442211934,0.10497614622720171,-0.004884580492168288,-0.005730989975772394,0.17577945855240207
capital losses,0.1007616813992009,-0.012700094408490955,0.0842554414259943,0.0725862638735743,0.042427234022931075,1.0,0.07539106985653689,0.06335140476800787,0.024115525112019677,0.010993099416242982,0.1474170755507913
veterans benefits,0.532279231354645,0.0515300104772433,0.46333385927136855,0.4764750637434381,0.054584542442211934,0.07539106985653689,1.0,0.6748442481782878,0.17744790810555097,0.11309390637439734,0.14092979005866316
age,0.20618095015546914,0.053590311054668785,0.14088685289893046,0.15782201597435258,0.10497614622720171,0.06335140476800787,0.6748442481782878,1.0,-0.0022654894865733145,0.03693829026276777,0.1357203772813087
own business or self employed,0.2658718759073974,0.015048465272834918,0.24055252479600633,0.25269416206918743,-0.004884580492168288,0.024115525112019677,0.17744790810555097,-0.0022654894865733145,1.0,0.05405147176991573,0.040472535247868244
wage per hour,0.19568700204983958,-0.0010820005167498782,0.1915425975177491,0.16597982732564345,-0.005730989975772394,0.010993099416242982,0.11309390637439734,0.03693829026276777,0.05405147176991573,1.0,0.024528208908774145
income_binary,0.26231613613283594,0.2407248197156532,0.2226840282014662,0.19618969446023682,0.17577945855240207,0.1474170755507913,0.14092979005866316,0.1357203772813087,0.040472535247868244,0.024528208908774145,1.0
